query,arxiv_id,published,title,title_pass,abstract_pass,decision
F2,2508.05705v1,2025-08-07,A Physiologically-Constrained Neural Network Digital Twin Framework for Replicating Glucose Dynamics in Type 1 Diabetes,no,no,loại theo tiêu đề: ngoài phạm vi
F2,2605.19826v1,2026-05-19,Explainable Wastewater Digital Twins: Adaptive Context-Conditioned Structured Simulators with Self-Falsifying Decision Support,yes,yes,giữ: đọc tiếp
F2,2606.28625v1,2026-06-26,In-Vehicle Digital Twin-Based Collision Warning Framework with Sybil Attack Detection,no,no,loại theo tiêu đề: ngoài phạm vi
F2,2605.24662v2,2026-05-23,OpenTwin: Closed-Loop Digital Twins for Trustworthy Policy Deployment in Open RAN,yes,yes,giữ: đọc tiếp
F2,2511.05610v2,2025-11-06,Conformal Prediction-Driven Adaptive Sampling for Digital Water Twins,yes,yes,giữ: đọc tiếp
F2,2609.17635v1,2026-09-15,Physics-Constrained Digital Twins for Sensor Integrity in Urban Pedestrian Flow: Detecting Stealthy False Data Injection with Conformal Guarantees,yes,no,loại sau abstract: ngoài trust target/phương pháp
F2,2206.03846v1,2022-06-08,Sim2real for Reinforcement Learning Driven Next Generation Networks,no,no,loại theo tiêu đề: ngoài phạm vi
F2,2410.01218v1,2024-10-02,An uncertainty-aware Digital Shadow for underground multimodal CO2 storage monitoring,no,no,loại theo tiêu đề: ngoài phạm vi
F2,2408.04711v2,2024-08-08,Robust pore-resolved CFD through porous monoliths reconstructed by micro-computed tomography: From digitization to flow prediction,no,no,loại theo tiêu đề: ngoài phạm vi
F3,2609.07251v1,2026-09-07,Adaptive Conformal Inference Under Delayed Feedback: Coverage Guarantees and a Delay-to-Memory Diagnostic,yes,yes,giữ: đọc tiếp
F3,2608.03628v1,2026-08-04,ConformalShift: Targeted Event Reordering Against Adaptive ECG Monitoring,yes,yes,giữ: đọc tiếp
F4,2309.08603v2,2023-09-15,Closing the Loop on Runtime Monitors with Fallback-Safe MPC,yes,yes,giữ: đọc tiếp
F4,2608.06516v1,2026-08-06,CertBind from Multimodal Connectivity to Certifiable Retrieval Decisions,no,no,loại theo tiêu đề: ngoài phạm vi
F5,2002.01696v2,2020-02-05,Age of Information in a Decentralized Network of Parallel Queues with Routing and Packets Losses,yes,no,loại sau abstract: ngoài trust target/phương pháp
F5,2504.07428v1,2025-04-10,Task-oriented Age of Information for Remote Inference with Hybrid Language Models,yes,yes,giữ: đọc tiếp
F5,2512.00985v2,2025-11-30,Age Optimal Sampling and Routing under Intermittent Links and Energy Constraints,yes,no,loại sau abstract: ngoài trust target/phương pháp
